"Timestamp","Alert Description","Alert Signature","Severity","Sender IP","Sender Port","Target IP","Target Port","Transport Protocol"
"2015-09-06 01:20:49","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","55910","192.168.186.18","22","TCP"
"2015-09-06 01:21:20","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","40816","192.168.186.18","22","TCP"
"2015-09-06 01:21:31","Attempted Information Leak","ET SCAN Potential SSH Scan","2","218.87.111.108","37580","192.168.186.18","22","TCP"
"2015-09-06 01:21:53","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","56910","192.168.186.18","22","TCP"
"2015-09-06 01:22:26","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","43913","192.168.186.18","22","TCP"
"2015-09-06 01:22:57","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","56129","192.168.186.18","22","TCP"
"2015-09-06 01:23:28","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","36250","192.168.186.18","22","TCP"
"2015-09-06 01:23:36","Attempted Information Leak","ET SCAN Potential SSH Scan","2","218.87.111.108","60159","192.168.186.18","22","TCP"
"2015-09-06 01:23:58","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","50735","192.168.186.18","22","TCP"
"2015-09-06 01:24:29","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","35546","192.168.186.18","22","TCP"
"2015-09-06 01:25:00","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","50375","192.168.186.18","22","TCP"
"2015-09-06 01:25:31","Detection of a Network Scan","ET SCAN SSH BruteForce Tool with fake PUTTY version","3","218.87.111.108","35288","192.168.186.18","22","TCP"
"2015-09-06 01:25:41","Attempted Information Leak","ET SCAN Potential SSH Scan","2","218.87.111.108","59237","192.168.186.18","22","TCP"
