"Timestamp","Alert Description","Alert Signature","Severity","Sender IP","Sender Port","Target IP","Target Port","Transport Protocol"
"2015-10-09 08:48:01","Attempted Information Leak","ET SCAN Potential SSH Scan","2","180.93.87.25","49280","192.168.186.18","22","TCP"
"2015-10-09 08:48:10","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","50598","192.168.186.18","22","TCP"
"2015-10-09 08:48:41","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","57889","192.168.186.18","22","TCP"
"2015-10-09 08:49:10","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","36281","192.168.186.18","22","TCP"
"2015-10-09 08:49:46","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","44562","192.168.186.18","22","TCP"
"2015-10-09 08:50:02","Attempted Information Leak","ET SCAN Potential SSH Scan","2","180.93.87.25","48781","192.168.186.18","22","TCP"
"2015-10-09 08:50:17","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","51573","192.168.186.18","22","TCP"
"2015-10-09 08:50:47","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","58522","192.168.186.18","22","TCP"
"2015-10-09 08:51:16","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","36975","192.168.186.18","22","TCP"
"2015-10-09 08:51:52","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","45151","192.168.186.18","22","TCP"
"2015-10-09 08:52:02","Attempted Information Leak","ET SCAN Potential SSH Scan","2","180.93.87.25","47992","192.168.186.18","22","TCP"
"2015-10-09 08:52:23","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","52003","192.168.186.18","22","TCP"
"2015-10-09 08:52:53","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","58966","192.168.186.18","22","TCP"
"2015-10-09 08:53:23","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","37601","192.168.186.18","22","TCP"
"2015-10-09 08:53:53","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","44532","192.168.186.18","22","TCP"
"2015-10-09 08:54:02","Attempted Information Leak","ET SCAN Potential SSH Scan","2","180.93.87.25","47244","192.168.186.18","22","TCP"
"2015-10-09 08:54:23","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","51412","192.168.186.18","22","TCP"
"2015-10-09 08:54:53","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","58349","192.168.186.18","22","TCP"
"2015-10-09 08:55:23","Attempted Administrator Privilege Gain","ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack","1","180.93.87.25","37169","192.168.186.18","22","TCP"
